Trained: AdoraSvitak.wav
Trained: AlaindeBotton.wav
Trained: AlexTabarrok.wav
Trained: AmyTan.wav
Universal model trained!!
Test,Matched To,Likelihood
AdoraSvitak.wav,AmyTan.wav,51%
AlaindeBotton.wav,AlaindeBotton.wav,84%
AlexTabarrok.wav,AlexTabarrok.wav,97%
AmyTan.wav,AmyTan.wav,53%
AubreyDeGrey.wav,AlexTabarrok.wav,53%
BarrySchwartz.wav,AlexTabarrok.wav,64%
BarrySchwartz2.wav,AlexTabarrok.wav,88%
BenDunlap.wav,AlexTabarrok.wav,67%
BenjaminZander.wav,AmyTan.wav,55%
BillGates.wav,AdoraSvitak.wav,51%
BobThurman.wav,AlexTabarrok.wav,62%
BrianCox.wav,AmyTan.wav,59%
BrianGreene.wav,AlexTabarrok.wav,59%
BurtRutan.wav,AlexTabarrok.wav,68%
CarlHonore.wav,AmyTan.wav,51%
CaryFowler.wav,AlaindeBotton.wav,74%
CharlesLeadbeater.wav,AmyTan.wav,51%
ChrisAbani.wav,AmyTan.wav,58%
ClayShirky.wav,AmyTan.wav,61%
DanAriely.wav,AlexTabarrok.wav,83%
DanBuettner.wav,AmyTan.wav,60%
DanDennett.wav,AlexTabarrok.wav,61%
DanGilbert.wav,AlexTabarrok.wav,54%
DanGilbert2.wav,AlexTabarrok.wav,61%
DanielGoleman.wav,AlexTabarrok.wav,72%
DanielKahneman.wav,AlaindeBotton.wav,75%
DanielPink.wav,AlexTabarrok.wav,70%
DavidDeutsch.wav,AlexTabarrok.wav,60%
DavidPogue.wav,AlexTabarrok.wav,69%
DeanKamen.wav,AlexTabarrok.wav,72%
DeanKamen2.wav,AlaindeBotton.wav,69%
DeanOrnish.wav,AlexTabarrok.wav,56%
DerekSivers.wav,AlaindeBotton.wav,75%
ErikHersman.wav,AlexTabarrok.wav,88%
ErinMcKean.wav,AlexTabarrok.wav,72%
EvanWilliams.wav,AlexTabarrok.wav,93%
EveEnsler.wav,AlaindeBotton.wav,65%
EvelynGlennie.wav,AlaindeBotton.wav,89%
EvgenyMorozov.wav,AlaindeBotton.wav,70%
FieldsWicker.wav,AmyTan.wav,56%
GeoffMulgan.wav,AmyTan.wav,65%
HansRosling.wav,AlaindeBotton.wav,60%
HectorRuiz.wav,AlexTabarrok.wav,55%
HelenFisher.wav,AlexTabarrok.wav,59%
HelenFisher2.wav,AlaindeBotton.wav,69%
HowardRheingold.wav,AlexTabarrok.wav,52%
IsabelAllende.wav,AlexTabarrok.wav,62%
JamesCameron.wav,AdoraSvitak.wav,46%
JamesForbes.wav,AlexTabarrok.wav,68%
JamesSurowiecki.wav,AmyTan.wav,51%
JanChipchase.wav,AlexTabarrok.wav,69%
JaneGoodall.wav,AlexTabarrok.wav,57%
JaneMcGonigal.wav,AdoraSvitak.wav,61%
JanineBenyus.wav,AlexTabarrok.wav,58%
JaredDiamond.wav,AlexTabarrok.wav,65%
JayWalker.wav,AlexTabarrok.wav,67%
JeffBezos.wav,AlexTabarrok.wav,56%
JimmyWales.wav,AlexTabarrok.wav,57%
JJAbrams.wav,AlexTabarrok.wav,68%
JohnFrancis.wav,AmyTan.wav,59%
JohnHodgman.wav,AmyTan.wav,57%
JohnMaeda.wav,AlexTabarrok.wav,67%
JonathanZittrain.wav,AmyTan.wav,45%
JoseAntonioAbreu.wav,AdoraSvitak.wav,58%
JuliaSweeney.wav,AlexTabarrok.wav,58%
KaryMullis.wav,AlexTabarrok.wav,56%
KenRobinson.wav,AlexTabarrok.wav,58%
LawrenceLessig.wav,AlexTabarrok.wav,74%
LizColeman.wav,AlexTabarrok.wav,62%
MaeJemison.wav,AmyTan.wav,56%
MarcPachter.wav,AlexTabarrok.wav,75%
MartinSeligman.wav,AmyTan.wav,51%
MatthewChilds.wav,AlexTabarrok.wav,84%
MatthieuRicard.wav,AlexTabarrok.wav,61%
MenaTrott.wav,AlexTabarrok.wav,72%
MichaelSpecter.wav,AmyTan.wav,65%
MurrayGellMann.wav,AlexTabarrok.wav,69%
NancyEtcoff.wav,AlexTabarrok.wav,82%
NatalieMerchant.wav,AlexTabarrok.wav,66%
NicholasChristakis.wav,AlaindeBotton.wav,56%
NickVeasey.wav,AlaindeBotton.wav,81%
NoahFeldman.wav,AlexTabarrok.wav,54%
OliverSacks.wav,AlexTabarrok.wav,65%
PaolaAntonelli.wav,AlexTabarrok.wav,74%
PatriciaBurchat.wav,AmyTan.wav,46%
PatrickAwuah.wav,AmyTan.wav,51%
PaulStamets.wav,AlexTabarrok.wav,60%
PhilBorges.wav,AlexTabarrok.wav,64%
PhilippeStarck.wav,AlexTabarrok.wav,58%
PhilipZimbardo.wav,AmyTan.wav,59%
PhilZimbardo2.wav,AmyTan.wav,59%
RaghavaKK.wav,AdoraSvitak.wav,43%
RayKurzweil.wav,AlexTabarrok.wav,55%
RebeccaSaxe.wav,AlexTabarrok.wav,59%
ReedKroloff.wav,AlexTabarrok.wav,53%
RichardBaraniuk.wav,AmyTan.wav,51%
RichardDawkins.wav,AlexTabarrok.wav,54%
RichardDawkins2.wav,AlexTabarrok.wav,58%
RichardSt.John.wav,AmyTan.wav,51%
RickWarren.wav,AlexTabarrok.wav,70%
RobertWright.wav,AlexTabarrok.wav,55%
RobForbes.wav,AlexTabarrok.wav,55%
SamHarris.wav,AlaindeBotton.wav,79%
SasaVucinic.wav,AlexTabarrok.wav,58%
SaulGriffith.wav,AlexTabarrok.wav,73%
ScottKim.wav,AmyTan.wav,55%
SergeyBrin_LarryPage.wav,AlexTabarrok.wav,63%
SethGodin.wav,AlexTabarrok.wav,55%
SimonSinek.wav,AlexTabarrok.wav,58%
StephenHawking.wav,AlexTabarrok.wav,77%
StephenPetranek.wav,AmyTan.wav,51%
StevenJohnson.wav,AlexTabarrok.wav,56%
StevenPinker.wav,AlexTabarrok.wav,53%
StewartBrand.wav,AlexTabarrok.wav,54%
SusanBlackmore.wav,AmyTan.wav,67%
ThelmaGolden.wav,AlaindeBotton.wav,67%
TimBerners.wav,AdoraSvitak.wav,47%
TomHoney.wav,AlexTabarrok.wav,54%
TomWujec.wav,AmyTan.wav,60%
TomWujec2.wav,AlaindeBotton.wav,68%
TonyRobbins.wav,AlexTabarrok.wav,59%
VilayanurRamachandran.wav,AlexTabarrok.wav,66%
VirginiaPostrel.wav,AlexTabarrok.wav,58%
YochaiBenkler.wav,AlexTabarrok.wav,73%
ZeresenayAlemseged.wav,AlexTabarrok.wav,67%
Done!
